rpm:0.16, pwm:0
rpm:0.0, pwm:1
rpm:0.0, pwm:2
rpm:0.0, pwm:3
rpm:0.0, pwm:4
rpm:0.0, pwm:5
rpm:0.0, pwm:6
rpm:0.0, pwm:7
rpm:0.0, pwm:8
rpm:0.0, pwm:9
rpm:0.0, pwm:10
rpm:3.67, pwm:11
rpm:5.11, pwm:12
rpm:5.91, pwm:13
rpm:6.86, pwm:14
rpm:7.66, pwm:15
rpm:8.62, pwm:16
rpm:9.58, pwm:17
rpm:10.38, pwm:18
rpm:11.17, pwm:19
rpm:12.13, pwm:20
rpm:12.93, pwm:21
rpm:13.89, pwm:22
rpm:14.53, pwm:23
rpm:15.48, pwm:24
rpm:16.28, pwm:25
rpm:17.24, pwm:26
rpm:18.2, pwm:27
rpm:18.83, pwm:28
rpm:19.79, pwm:29
rpm:20.59, pwm:30
rpm:21.39, pwm:31
rpm:22.35, pwm:32
rpm:23.14, pwm:33
rpm:23.94, pwm:34
rpm:24.9, pwm:35
rpm:25.7, pwm:36
rpm:26.5, pwm:37
rpm:27.45, pwm:38
rpm:28.09, pwm:39
rpm:29.21, pwm:40
rpm:29.85, pwm:41
rpm:30.81, pwm:42
rpm:31.6, pwm:43
rpm:32.4, pwm:44
rpm:33.2, pwm:45
rpm:34.16, pwm:46
rpm:35.12, pwm:47
rpm:35.91, pwm:48
rpm:36.71, pwm:49
rpm:37.51, pwm:50
rpm:38.47, pwm:51
rpm:39.27, pwm:52
rpm:40.06, pwm:53
rpm:41.02, pwm:54
rpm:41.82, pwm:55
rpm:42.62, pwm:56
rpm:43.58, pwm:57
rpm:44.37, pwm:58
rpm:45.17, pwm:59
rpm:46.13, pwm:60
rpm:46.93, pwm:61
rpm:47.89, pwm:62
rpm:48.68, pwm:63
rpm:49.48, pwm:64
rpm:50.44, pwm:65
rpm:51.24, pwm:66
rpm:52.04, pwm:67
rpm:52.99, pwm:68
rpm:53.79, pwm:69
rpm:54.59, pwm:70
rpm:55.39, pwm:71
rpm:56.34, pwm:72
rpm:57.14, pwm:73
rpm:57.94, pwm:74
rpm:58.9, pwm:75
rpm:59.7, pwm:76
rpm:60.49, pwm:77
rpm:61.45, pwm:78
rpm:62.41, pwm:79
rpm:63.21, pwm:80
rpm:64.01, pwm:81
rpm:64.8, pwm:82
rpm:65.76, pwm:83
rpm:66.72, pwm:84
rpm:67.36, pwm:85
rpm:68.32, pwm:86
rpm:69.11, pwm:87
rpm:70.07, pwm:88
rpm:70.87, pwm:89
rpm:71.83, pwm:90
rpm:72.47, pwm:91
rpm:73.58, pwm:92
rpm:74.22, pwm:93
rpm:75.18, pwm:94
rpm:75.98, pwm:95
rpm:76.94, pwm:96
rpm:77.73, pwm:97
rpm:78.69, pwm:98
rpm:79.49, pwm:99
rpm:80.29, pwm:100
rpm:81.25, pwm:101
rpm:82.04, pwm:102
rpm:83.0, pwm:103
rpm:83.8, pwm:104
rpm:84.6, pwm:105
rpm:85.4, pwm:106
rpm:86.35, pwm:107
rpm:87.15, pwm:108
rpm:88.11, pwm:109
rpm:88.91, pwm:110
rpm:89.86, pwm:111
rpm:90.66, pwm:112
rpm:91.46, pwm:113
rpm:92.42, pwm:114
rpm:93.22, pwm:115
rpm:94.01, pwm:116
rpm:94.97, pwm:117
rpm:95.77, pwm:118
rpm:96.73, pwm:119
rpm:97.53, pwm:120
rpm:98.48, pwm:121
rpm:99.12, pwm:122
rpm:100.24, pwm:123
rpm:100.88, pwm:124
rpm:101.84, pwm:125
rpm:102.63, pwm:126
rpm:103.59, pwm:127
rpm:104.39, pwm:128
rpm:105.35, pwm:129
rpm:106.15, pwm:130
rpm:107.1, pwm:131
rpm:107.9, pwm:132
rpm:108.7, pwm:133
rpm:109.66, pwm:134
rpm:110.61, pwm:135
rpm:111.25, pwm:136
rpm:112.37, pwm:137
rpm:113.17, pwm:138
rpm:114.13, pwm:139
rpm:115.08, pwm:140
rpm:115.72, pwm:141
rpm:116.84, pwm:142
rpm:117.48, pwm:143
rpm:118.28, pwm:144
rpm:119.39, pwm:145
rpm:120.03, pwm:146
rpm:120.99, pwm:147
rpm:121.95, pwm:148
rpm:122.75, pwm:149
rpm:123.54, pwm:150
rpm:124.5, pwm:151
rpm:125.3, pwm:152
rpm:126.1, pwm:153
rpm:127.06, pwm:154
rpm:127.85, pwm:155
rpm:128.81, pwm:156
rpm:129.61, pwm:157
rpm:130.41, pwm:158
rpm:131.36, pwm:159
rpm:132.16, pwm:160
rpm:132.96, pwm:161
rpm:133.92, pwm:162
rpm:134.72, pwm:163
rpm:135.67, pwm:164
rpm:136.47, pwm:165
rpm:137.43, pwm:166
rpm:138.23, pwm:167
rpm:139.03, pwm:168
rpm:140.14, pwm:169
rpm:140.78, pwm:170
rpm:141.74, pwm:171
rpm:142.54, pwm:172
rpm:143.5, pwm:173
rpm:144.29, pwm:174
rpm:145.25, pwm:175
rpm:146.05, pwm:176
rpm:146.85, pwm:177
rpm:147.81, pwm:178
rpm:148.6, pwm:179
rpm:149.56, pwm:180
rpm:150.36, pwm:181
rpm:151.32, pwm:182
rpm:152.11, pwm:183
rpm:152.91, pwm:184
rpm:153.87, pwm:185
rpm:154.51, pwm:186
rpm:155.47, pwm:187
rpm:156.42, pwm:188
rpm:157.38, pwm:189
rpm:158.18, pwm:190
rpm:158.98, pwm:191
rpm:159.94, pwm:192
rpm:160.73, pwm:193
rpm:161.53, pwm:194
rpm:162.33, pwm:195
rpm:163.45, pwm:196
rpm:164.25, pwm:197
rpm:165.04, pwm:198
rpm:166.0, pwm:199
rpm:166.96, pwm:200
rpm:167.76, pwm:201
rpm:168.4, pwm:202
